2026-01-26 16:26:25 | WARNING | Pair train__train_136__RHEA_67532 has clash_all; writing both ligands to output_sdf_templates/clashing/train
2026-01-26 16:26:31 | WARNING | All conformers clashing pair_id=train__train_136__RHEA_67536 role=reactant
2026-01-26 16:26:37 | WARNING | All conformers clashing pair_id=train__train_136__RHEA_67536 role=product
2026-01-26 16:26:37 | WARNING | Pair train__train_136__RHEA_67536 has clash_all; writing both ligands to output_sdf_templates/clashing/train
2026-01-26 16:26:43 | WARNING | All conformers clashing pair_id=train__train_136__RHEA_67540 role=reactant
2026-01-26 16:26:49 | WARNING | All conformers clashing pair_id=train__train_136__RHEA_67540 role=product
2026-01-26 16:26:49 | WARNING | Pair train__train_136__RHEA_67540 has clash_all; writing both ligands to output_sdf_templates/clashing/train
2026-01-26 16:26:55 | WARNING | All conformers clashing pair_id=train__train_136__RHEA_67544 role=reactant
2026-01-26 16:27:01 | WARNING | All conformers clashing pair_id=train__train_136__RHEA_67544 role=product
2026-01-26 16:27:01 | WARNING | Pair train__train_136__RHEA_67544 has clash_all; writing both ligands to output_sdf_templates/clashing/train
2026-01-26 16:27:07 | WARNING | All conformers clashing pair_id=train__train_136__RHEA_67528 role=reactant
2026-01-26 16:27:13 | WARNING | All conformers clashing pair_id=train__train_136__RHEA_67528 role=product
2026-01-26 16:27:13 | WARNING | Pair train__train_136__RHEA_67528 has clash_all; writing both ligands to output_sdf_templates/clashing/train
2026-01-26 16:27:19 | WARNING | All conformers clashing pair_id=train__train_136__RHEA_50032 role=reactant
2026-01-26 16:27:25 | WARNING | Pair train__train_136__RHEA_50032 has clash_all; writing both ligands to output_sdf_templates/clashing/train
2026-01-26 16:27:30 | WARNING | All conformers clashing pair_id=train__train_136__RHEA_50028 role=reactant
2026-01-26 16:27:36 | WARNING | All conformers clashing pair_id=train__train_136__RHEA_50028 role=product
2026-01-26 16:27:36 | WARNING | Pair train__train_136__RHEA_50028 has clash_all; writing both ligands to output_sdf_templates/clashing/train
2026-01-26 16:27:42 | WARNING | All conformers clashing pair_id=train__train_136__RHEA_50024 role=reactant
2026-01-26 16:27:48 | WARNING | All conformers clashing pair_id=train__train_136__RHEA_50024 role=product
2026-01-26 16:27:48 | WARNING | Pair train__train_136__RHEA_50024 has clash_all; writing both ligands to output_sdf_templates/clashing/train
2026-01-26 16:30:38 | WARNING | All conformers clashing pair_id=train__train_149__RHEA_13725 role=reactant
2026-01-26 16:30:44 | WARNING | Pair train__train_149__RHEA_13725 has clash_all; writing both ligands to output_sdf_templates/clashing/train
2026-01-26 16:31:54 | WARNING | All conformers clashing pair_id=train__train_156__RHEA_39159 role=product
2026-01-26 16:31:54 | WARNING | Pair train__train_156__RHEA_39159 has clash_all; writing both ligands to output_sdf_templates/clashing/train
2026-01-26 16:32:07 | WARNING | All conformers clashing pair_id=train__train_156__RHEA_39155 role=product
2026-01-26 16:32:07 | WARNING | Pair train__train_156__RHEA_39155 has clash_all; writing both ligands to output_sdf_templates/clashing/train
2026-01-26 16:32:13 | WARNING | All conformers clashing pair_id=train__train_156__RHEA_39175 role=reactant
2026-01-26 16:32:19 | WARNING | Pair train__train_156__RHEA_39175 has clash_all; writing both ligands to output_sdf_templates/clashing/train
