# name input_path ligand_code designs
ccd_zsg ./data/rfd3/ccd_ligands/structures/ZSG.cif ZSG 10
ccd_bvd ./data/rfd3/ccd_ligands/structures/BVD.cif BVD 10
ccd_pv1 ./data/rfd3/ccd_ligands/structures/PV1.cif PV1 10
ccd_zsy ./data/rfd3/ccd_ligands/structures/ZSY.cif ZSY 10
ccd_b0o ./data/rfd3/ccd_ligands/structures/B0O.cif B0O 10
ccd_fpg ./data/rfd3/ccd_ligands/structures/FPG.cif FPG 10
ccd_wk5 ./data/rfd3/ccd_ligands/structures/WK5.cif WK5 10
ccd_y09 ./data/rfd3/ccd_ligands/structures/Y09.cif Y09 10
ccd_eru ./data/rfd3/ccd_ligands/structures/ERU.cif ERU 10
ccd_jxi ./data/rfd3/ccd_ligands/structures/JXI.cif JXI 10
ccd_tvt ./data/rfd3/ccd_ligands/structures/TVT.cif TVT 10
ccd_k9q ./data/rfd3/ccd_ligands/structures/K9Q.cif K9Q 10
ccd_kky ./data/rfd3/ccd_ligands/structures/KKY.cif KKY 10
ccd_arz ./data/rfd3/ccd_ligands/structures/ARZ.cif ARZ 10
ccd_8r7 ./data/rfd3/ccd_ligands/structures/8R7.cif 8R7 10
ccd_1tz ./data/rfd3/ccd_ligands/structures/1TZ.cif 1TZ 10
ccd_nlm ./data/rfd3/ccd_ligands/structures/NLM.cif NLM 10
ccd_1gb ./data/rfd3/ccd_ligands/structures/1GB.cif 1GB 10
ccd_t23 ./data/rfd3/ccd_ligands/structures/T23.cif T23 10
ccd_qup ./data/rfd3/ccd_ligands/structures/QUP.cif QUP 10
ccd_qt3 ./data/rfd3/ccd_ligands/structures/QT3.cif QT3 10
ccd_imx ./data/rfd3/ccd_ligands/structures/IMX.cif IMX 10
ccd_9en ./data/rfd3/ccd_ligands/structures/9EN.cif 9EN 10
ccd_h8j ./data/rfd3/ccd_ligands/structures/H8J.cif H8J 10
ccd_n87 ./data/rfd3/ccd_ligands/structures/N87.cif N87 10
ccd_g9l ./data/rfd3/ccd_ligands/structures/G9L.cif G9L 10
ccd_d2z ./data/rfd3/ccd_ligands/structures/D2Z.cif D2Z 10
ccd_f3f ./data/rfd3/ccd_ligands/structures/F3F.cif F3F 10
ccd_1a1 ./data/rfd3/ccd_ligands/structures/1A1.cif 1A1 10
ccd_0c7 ./data/rfd3/ccd_ligands/structures/0C7.cif 0C7 10
ccd_u0n ./data/rfd3/ccd_ligands/structures/U0N.cif U0N 10
ccd_j0w ./data/rfd3/ccd_ligands/structures/J0W.cif J0W 10
ccd_mxk ./data/rfd3/ccd_ligands/structures/MXK.cif MXK 10
ccd_4td ./data/rfd3/ccd_ligands/structures/4TD.cif 4TD 10
ccd_kfy ./data/rfd3/ccd_ligands/structures/KFY.cif KFY 10
ccd_x4w ./data/rfd3/ccd_ligands/structures/X4W.cif X4W 10
ccd_60r ./data/rfd3/ccd_ligands/structures/60R.cif 60R 10
ccd_qce ./data/rfd3/ccd_ligands/structures/QCE.cif QCE 10
ccd_qlp ./data/rfd3/ccd_ligands/structures/QLP.cif QLP 10
ccd_zp0 ./data/rfd3/ccd_ligands/structures/ZP0.cif ZP0 10
ccd_0we ./data/rfd3/ccd_ligands/structures/0WE.cif 0WE 10
ccd_2nk ./data/rfd3/ccd_ligands/structures/2NK.cif 2NK 10
ccd_gh2 ./data/rfd3/ccd_ligands/structures/GH2.cif GH2 10
ccd_a1f ./data/rfd3/ccd_ligands/structures/A1F.cif A1F 10
ccd_7wt ./data/rfd3/ccd_ligands/structures/7WT.cif 7WT 10
ccd_wqp ./data/rfd3/ccd_ligands/structures/WQP.cif WQP 10
ccd_9zx ./data/rfd3/ccd_ligands/structures/9ZX.cif 9ZX 10
ccd_1p5 ./data/rfd3/ccd_ligands/structures/1P5.cif 1P5 10
ccd_r57 ./data/rfd3/ccd_ligands/structures/R57.cif R57 10
ccd_a1d6o ./data/rfd3/ccd_ligands/structures/A1D6O.cif A1D6O 10
ccd_21p ./data/rfd3/ccd_ligands/structures/21P.cif 21P 10
ccd_kzl ./data/rfd3/ccd_ligands/structures/KZL.cif KZL 10
ccd_ayt ./data/rfd3/ccd_ligands/structures/AYT.cif AYT 10
ccd_ro4 ./data/rfd3/ccd_ligands/structures/RO4.cif RO4 10
ccd_wxh ./data/rfd3/ccd_ligands/structures/WXH.cif WXH 10
ccd_er4 ./data/rfd3/ccd_ligands/structures/ER4.cif ER4 10
ccd_le6 ./data/rfd3/ccd_ligands/structures/LE6.cif LE6 10
ccd_7i4 ./data/rfd3/ccd_ligands/structures/7I4.cif 7I4 10
ccd_5dq ./data/rfd3/ccd_ligands/structures/5DQ.cif 5DQ 10
ccd_1r9 ./data/rfd3/ccd_ligands/structures/1R9.cif 1R9 10
ccd_9fr ./data/rfd3/ccd_ligands/structures/9FR.cif 9FR 10
ccd_86d ./data/rfd3/ccd_ligands/structures/86D.cif 86D 10
ccd_9m0 ./data/rfd3/ccd_ligands/structures/9M0.cif 9M0 10
ccd_yzv ./data/rfd3/ccd_ligands/structures/YZV.cif YZV 10
ccd_24r ./data/rfd3/ccd_ligands/structures/24R.cif 24R 10
ccd_xwy ./data/rfd3/ccd_ligands/structures/XWY.cif XWY 10
ccd_ebx ./data/rfd3/ccd_ligands/structures/EBX.cif EBX 10
ccd_u30 ./data/rfd3/ccd_ligands/structures/U30.cif U30 10
ccd_uii ./data/rfd3/ccd_ligands/structures/UII.cif UII 10
ccd_idp ./data/rfd3/ccd_ligands/structures/IDP.cif IDP 10
ccd_4c4 ./data/rfd3/ccd_ligands/structures/4C4.cif 4C4 10
ccd_nei ./data/rfd3/ccd_ligands/structures/NEI.cif NEI 10
ccd_dz2 ./data/rfd3/ccd_ligands/structures/DZ2.cif DZ2 10
ccd_s7i ./data/rfd3/ccd_ligands/structures/S7I.cif S7I 10
ccd_htb ./data/rfd3/ccd_ligands/structures/HTB.cif HTB 10
ccd_b36 ./data/rfd3/ccd_ligands/structures/B36.cif B36 10
ccd_b8z ./data/rfd3/ccd_ligands/structures/B8Z.cif B8Z 10
ccd_bv0 ./data/rfd3/ccd_ligands/structures/BV0.cif BV0 10
ccd_5pb ./data/rfd3/ccd_ligands/structures/5PB.cif 5PB 10
ccd_cfg ./data/rfd3/ccd_ligands/structures/CFG.cif CFG 10
ccd_a1av7 ./data/rfd3/ccd_ligands/structures/A1AV7.cif A1AV7 10
ccd_ot0 ./data/rfd3/ccd_ligands/structures/OT0.cif OT0 10
ccd_5ec ./data/rfd3/ccd_ligands/structures/5EC.cif 5EC 10
ccd_jgc ./data/rfd3/ccd_ligands/structures/JGC.cif JGC 10
ccd_rjh ./data/rfd3/ccd_ligands/structures/RJH.cif RJH 10
ccd_rl1 ./data/rfd3/ccd_ligands/structures/RL1.cif RL1 10
ccd_ijg ./data/rfd3/ccd_ligands/structures/IJG.cif IJG 10
ccd_epv ./data/rfd3/ccd_ligands/structures/EPV.cif EPV 10
ccd_hr6 ./data/rfd3/ccd_ligands/structures/HR6.cif HR6 10
ccd_cdd ./data/rfd3/ccd_ligands/structures/CDD.cif CDD 10
ccd_i5g ./data/rfd3/ccd_ligands/structures/I5G.cif I5G 10
ccd_xg5 ./data/rfd3/ccd_ligands/structures/XG5.cif XG5 10
ccd_g81 ./data/rfd3/ccd_ligands/structures/G81.cif G81 10
ccd_m3k ./data/rfd3/ccd_ligands/structures/M3K.cif M3K 10
ccd_1uf ./data/rfd3/ccd_ligands/structures/1UF.cif 1UF 10
ccd_a1eec ./data/rfd3/ccd_ligands/structures/A1EEC.cif A1EEC 10
ccd_kvk ./data/rfd3/ccd_ligands/structures/KVK.cif KVK 10
ccd_51w ./data/rfd3/ccd_ligands/structures/51W.cif 51W 10
ccd_ojr ./data/rfd3/ccd_ligands/structures/OJR.cif OJR 10
ccd_csg ./data/rfd3/ccd_ligands/structures/CSG.cif CSG 10
ccd_scb ./data/rfd3/ccd_ligands/structures/SCB.cif SCB 10
ccd_9cs ./data/rfd3/ccd_ligands/structures/9CS.cif 9CS 10
ccd_c0z ./data/rfd3/ccd_ligands/structures/C0Z.cif C0Z 10
ccd_ham ./data/rfd3/ccd_ligands/structures/HAM.cif HAM 10
ccd_8vm ./data/rfd3/ccd_ligands/structures/8VM.cif 8VM 10
ccd_3v0 ./data/rfd3/ccd_ligands/structures/3V0.cif 3V0 10
ccd_waa ./data/rfd3/ccd_ligands/structures/WAA.cif WAA 10
ccd_033 ./data/rfd3/ccd_ligands/structures/033.cif 033 10
ccd_dj8 ./data/rfd3/ccd_ligands/structures/DJ8.cif DJ8 10
ccd_3qf ./data/rfd3/ccd_ligands/structures/3QF.cif 3QF 10
ccd_a1irs ./data/rfd3/ccd_ligands/structures/A1IRS.cif A1IRS 10
ccd_qh8 ./data/rfd3/ccd_ligands/structures/QH8.cif QH8 10
ccd_rt9 ./data/rfd3/ccd_ligands/structures/RT9.cif RT9 10
ccd_g0d ./data/rfd3/ccd_ligands/structures/G0D.cif G0D 10
ccd_a1id9 ./data/rfd3/ccd_ligands/structures/A1ID9.cif A1ID9 10
ccd_szp ./data/rfd3/ccd_ligands/structures/SZP.cif SZP 10
ccd_6ss ./data/rfd3/ccd_ligands/structures/6SS.cif 6SS 10
ccd_fdj ./data/rfd3/ccd_ligands/structures/FDJ.cif FDJ 10
ccd_a1ivd ./data/rfd3/ccd_ligands/structures/A1IVD.cif A1IVD 10
ccd_7t5 ./data/rfd3/ccd_ligands/structures/7T5.cif 7T5 10
ccd_dry ./data/rfd3/ccd_ligands/structures/DRY.cif DRY 10
ccd_wiq ./data/rfd3/ccd_ligands/structures/WIQ.cif WIQ 10
ccd_v7y ./data/rfd3/ccd_ligands/structures/V7Y.cif V7Y 10
ccd_a1add ./data/rfd3/ccd_ligands/structures/A1ADD.cif A1ADD 10
ccd_ddi ./data/rfd3/ccd_ligands/structures/DDI.cif DDI 10
ccd_unw ./data/rfd3/ccd_ligands/structures/UNW.cif UNW 10
ccd_7a1 ./data/rfd3/ccd_ligands/structures/7A1.cif 7A1 10
ccd_1i9 ./data/rfd3/ccd_ligands/structures/1I9.cif 1I9 10
ccd_hvt ./data/rfd3/ccd_ligands/structures/HVT.cif HVT 10
ccd_2sz ./data/rfd3/ccd_ligands/structures/2SZ.cif 2SZ 10
ccd_a1ako ./data/rfd3/ccd_ligands/structures/A1AKO.cif A1AKO 10
ccd_anj ./data/rfd3/ccd_ligands/structures/ANJ.cif ANJ 10
ccd_vt8 ./data/rfd3/ccd_ligands/structures/VT8.cif VT8 10
ccd_4yb ./data/rfd3/ccd_ligands/structures/4YB.cif 4YB 10
ccd_a1h7c ./data/rfd3/ccd_ligands/structures/A1H7C.cif A1H7C 10
ccd_q70 ./data/rfd3/ccd_ligands/structures/Q70.cif Q70 10
ccd_90h ./data/rfd3/ccd_ligands/structures/90H.cif 90H 10
ccd_wgo ./data/rfd3/ccd_ligands/structures/WGO.cif WGO 10
ccd_660 ./data/rfd3/ccd_ligands/structures/660.cif 660 10
ccd_5zl ./data/rfd3/ccd_ligands/structures/5ZL.cif 5ZL 10
ccd_274 ./data/rfd3/ccd_ligands/structures/274.cif 274 10
ccd_uew ./data/rfd3/ccd_ligands/structures/UEW.cif UEW 10
ccd_7q6 ./data/rfd3/ccd_ligands/structures/7Q6.cif 7Q6 10
ccd_d30 ./data/rfd3/ccd_ligands/structures/D30.cif D30 10
ccd_vra ./data/rfd3/ccd_ligands/structures/VRA.cif VRA 10
ccd_gnq ./data/rfd3/ccd_ligands/structures/GNQ.cif GNQ 10
ccd_kxg ./data/rfd3/ccd_ligands/structures/KXG.cif KXG 10
ccd_urr ./data/rfd3/ccd_ligands/structures/URR.cif URR 10
ccd_7vw ./data/rfd3/ccd_ligands/structures/7VW.cif 7VW 10
ccd_lbr ./data/rfd3/ccd_ligands/structures/LBR.cif LBR 10
ccd_sln ./data/rfd3/ccd_ligands/structures/SLN.cif SLN 10
ccd_gbr ./data/rfd3/ccd_ligands/structures/GBR.cif GBR 10
ccd_2iu ./data/rfd3/ccd_ligands/structures/2IU.cif 2IU 10
ccd_8b8 ./data/rfd3/ccd_ligands/structures/8B8.cif 8B8 10
ccd_a1iv1 ./data/rfd3/ccd_ligands/structures/A1IV1.cif A1IV1 10
ccd_l5f ./data/rfd3/ccd_ligands/structures/L5F.cif L5F 10
ccd_3bp ./data/rfd3/ccd_ligands/structures/3BP.cif 3BP 10
ccd_hjn ./data/rfd3/ccd_ligands/structures/HJN.cif HJN 10
ccd_nqi ./data/rfd3/ccd_ligands/structures/NQI.cif NQI 10
ccd_45b ./data/rfd3/ccd_ligands/structures/45B.cif 45B 10
ccd_ofh ./data/rfd3/ccd_ligands/structures/OFH.cif OFH 10
ccd_318 ./data/rfd3/ccd_ligands/structures/318.cif 318 10
ccd_oqy ./data/rfd3/ccd_ligands/structures/OQY.cif OQY 10
ccd_fw8 ./data/rfd3/ccd_ligands/structures/FW8.cif FW8 10
ccd_ueh ./data/rfd3/ccd_ligands/structures/UEH.cif UEH 10
ccd_j12 ./data/rfd3/ccd_ligands/structures/J12.cif J12 10
ccd_52z ./data/rfd3/ccd_ligands/structures/52Z.cif 52Z 10
ccd_g6h ./data/rfd3/ccd_ligands/structures/G6H.cif G6H 10
ccd_yjy ./data/rfd3/ccd_ligands/structures/YJY.cif YJY 10
ccd_98o ./data/rfd3/ccd_ligands/structures/98O.cif 98O 10
ccd_ph1 ./data/rfd3/ccd_ligands/structures/PH1.cif PH1 10
ccd_17x ./data/rfd3/ccd_ligands/structures/17X.cif 17X 10
ccd_mi3 ./data/rfd3/ccd_ligands/structures/MI3.cif MI3 10
ccd_a1ic4 ./data/rfd3/ccd_ligands/structures/A1IC4.cif A1IC4 10
ccd_ucf ./data/rfd3/ccd_ligands/structures/UCF.cif UCF 10
ccd_f4i ./data/rfd3/ccd_ligands/structures/F4I.cif F4I 10
ccd_n42 ./data/rfd3/ccd_ligands/structures/N42.cif N42 10
ccd_cll ./data/rfd3/ccd_ligands/structures/CLL.cif CLL 10
ccd_t3 ./data/rfd3/ccd_ligands/structures/T3.cif T3 10
ccd_beb ./data/rfd3/ccd_ligands/structures/BEB.cif BEB 10
ccd_cu9 ./data/rfd3/ccd_ligands/structures/CU9.cif CU9 10
ccd_apu ./data/rfd3/ccd_ligands/structures/APU.cif APU 10
ccd_881 ./data/rfd3/ccd_ligands/structures/881.cif 881 10
ccd_98f ./data/rfd3/ccd_ligands/structures/98F.cif 98F 10
ccd_biq ./data/rfd3/ccd_ligands/structures/BIQ.cif BIQ 10
ccd_cna ./data/rfd3/ccd_ligands/structures/CNA.cif CNA 10
ccd_8hd ./data/rfd3/ccd_ligands/structures/8HD.cif 8HD 10
ccd_ba7 ./data/rfd3/ccd_ligands/structures/BA7.cif BA7 10
ccd_dnd ./data/rfd3/ccd_ligands/structures/DND.cif DND 10
ccd_nai ./data/rfd3/ccd_ligands/structures/NAI.cif NAI 10
ccd_a1icx ./data/rfd3/ccd_ligands/structures/A1ICX.cif A1ICX 10
ccd_hue ./data/rfd3/ccd_ligands/structures/HUE.cif HUE 10
ccd_xn2 ./data/rfd3/ccd_ligands/structures/XN2.cif XN2 10
ccd_ih7 ./data/rfd3/ccd_ligands/structures/IH7.cif IH7 10
ccd_7tq ./data/rfd3/ccd_ligands/structures/7TQ.cif 7TQ 10
ccd_epz ./data/rfd3/ccd_ligands/structures/EPZ.cif EPZ 10
ccd_2ah ./data/rfd3/ccd_ligands/structures/2AH.cif 2AH 10
ccd_63p ./data/rfd3/ccd_ligands/structures/63P.cif 63P 10
ccd_mcj ./data/rfd3/ccd_ligands/structures/MCJ.cif MCJ 10
ccd_mou ./data/rfd3/ccd_ligands/structures/MOU.cif MOU 10
ccd_8t5 ./data/rfd3/ccd_ligands/structures/8T5.cif 8T5 10
ccd_mcn ./data/rfd3/ccd_ligands/structures/MCN.cif MCN 10
