name,input_path,ligand_code,formula_weight,heavy_atoms,hetero_atoms,elements,formula,ccd_name,weight_bin
ccd_vra,./data/rfd3/ccd_ligands/structures/VRA.cif,VRA,572.337,31,12,"C,F,H,I,N,O,S",C19 H20 F3 I N2 O5 S,"N-{3,4-difluoro-2-[(2-fluoro-4-iodophenyl)amino]-6-methoxyphenyl}-1-[(2S)-2,3-dihydroxypropyl]cyclopropanesulfonamide",6
ccd_gnq,./data/rfd3/ccd_ligands/structures/GNQ.cif,GNQ,572.597,39,14,"C,F,H,N,O,S",C25 H31 F3 N4 O6 S,N-[(1R)-1-[(BENZYLSULFONYL)METHYL]-2-{[(1S)-1-METHYL-2-{[4-(TRIFLUOROMETHOXY)PHENYL]AMINO}ETHYL]AMINO}-2-OXOETHYL]MORPHOLINE-4-CARBOXAMIDE,6
ccd_ylv,./data/rfd3/ccd_ligands/structures/YLV.cif,YLV,573.488,38,17,"C,F,H,N,O,S",C21 H24 F5 N3 O8 S,"(1R,2S)-1-hydroxy-2-((S)-4-methyl-2-((((perfluorophenyl)methoxy)carbonyl)amino)pentanamido)-3-((R)-2-oxo-2,3-dihydro-1H-pyrrol-3-yl)propane-1-sulfonic acid",6
ccd_ym1,./data/rfd3/ccd_ligands/structures/YM1.cif,YM1,573.488,38,17,"C,F,H,N,O,S",C21 H24 F5 N3 O8 S,"(1S,2S)-1-hydroxy-2-((S)-4-methyl-2-((((perfluorophenyl)methoxy)carbonyl)amino)pentanamido)-3-((R)-2-oxo-2,3-dihydro-1H-pyrrol-3-yl)propane-1-sulfonic acid",6
ccd_44l,./data/rfd3/ccd_ligands/structures/44L.cif,44L,573.621,38,18,"C,F,H,N,O,S",C20 H28 F N9 O6 S2,"2',5'-dideoxy-2'-fluoro-5'-[({5-[(3aS,4S,6aR)-2-oxohexahydro-1H-thieno[3,4-d]imidazol-4-yl]pentanoyl}sulfamoyl)amino]adenosine",6
ccd_3lg,./data/rfd3/ccd_ligands/structures/3LG.cif,3LG,573.636,42,10,"C,H,N,O",C32 H35 N3 O7,(5-{[(2R)-1-(4-{3-[(2-METHOXYBENZYL)OXY]PROPOXY}PHENYL)-6-OXOPIPERAZIN-2-YL]METHOXY}-1H-INDOL-1-YL)ACETIC ACID,6
ccd_9qd,./data/rfd3/ccd_ligands/structures/9QD.cif,9QD,574.714,42,10,"C,H,N,O",C32 H42 N6 O4,"N-[3-({4-hydroxy-1-[(3R)-3-phenylbutanoyl]piperidin-4-yl}methyl)-4-oxo-3,4-dihydroquinazolin-7-yl]-3-(4-methylpiperazin-1-yl)propanamide",6
ccd_kxg,./data/rfd3/ccd_ligands/structures/KXG.cif,KXG,575.381,36,21,"C,H,N,O,P,S",C15 H23 N5 O13 P2 S,"[[(2~{R},3~{S},4~{R},5~{R})-5-(6-aminopurin-9-yl)-3,4-bis(oxidanyl)oxolan-2-yl]methoxy-oxidanyl-phosphoryl] [(3~{S},4~{R},5~{R})-3,4-bis(oxidanyl)-5-sulfanyl-oxolan-2-yl]methyl hydrogen phosphate",6
ccd_h5s,./data/rfd3/ccd_ligands/structures/H5S.cif,H5S,575.672,39,12,"C,F,H,N,O,S",C27 H30 F N3 O6 S2,"(5S)-5-tert-butyl-1-(4-fluoro-3-methylbenzyl)-4-hydroxy-3-[8-(methylsulfonyl)-1,1-dioxido-6,7,8,9-tetrahydroisothiazolo[4,5-h]isoquinolin-3-yl]-1,5-dihydro-2H-pyrrol-2-one",6
ccd_urr,./data/rfd3/ccd_ligands/structures/URR.cif,URR,575.695,38,14,"C,H,N,O,S",C24 H37 N3 O9 S2,"N~2~-(ethoxycarbonyl)-N-{(1S,2S)-1-hydroxy-3-[(3S)-2-oxopyrrolidin-3-yl]-1-sulfanylpropan-2-yl}-L-leucinamide",6
ccd_9ey,./data/rfd3/ccd_ligands/structures/9EY.cif,9EY,576.006,41,14,"C,CL,H,N,O",C27 H26 Cl N9 O4,"methyl [(7S)-7-({(2E)-3-[5-chloro-2-(1H-tetrazol-1-yl)phenyl]prop-2-enoyl}amino)-2-oxo-1,2,3,4,5,6,7,9-octahydro-11,8-(azeno)-1,9-benzodiazacyclotridecin-14-yl]carbamate",6
ccd_yvp,./data/rfd3/ccd_ligands/structures/YVP.cif,YVP,576.686,42,11,"C,H,N,O",C31 H40 N6 O5,N-{3-[(prop-2-yn-1-yl)oxy]propanoyl}-D-phenylalanyl-N-[(3S)-6-carbamimidamido-2-oxohexan-3-yl]-L-phenylalaninamide,6
ccd_7vw,./data/rfd3/ccd_ligands/structures/7VW.cif,7VW,576.725,41,11,"C,H,N,O",C30 H48 N4 O7,N-[(benzyloxy)carbonyl]-O-tert-butyl-L-threonyl-N-{(2S)-1-hydroxy-3-[(3S)-2-oxopyrrolidin-3-yl]propan-2-yl}-4-methyl-L-leucinamide,6
ccd_44z,./data/rfd3/ccd_ligands/structures/44Z.cif,44Z,577.071,41,10,"C,CL,H,N,O",C31 H33 Cl N4 O5,"4-[[(4S,5R)-5-(4-chlorophenyl)-4-(3-methoxyphenyl)-2-(4-methoxy-2-propan-2-yloxy-phenyl)-4,5-dihydroimidazol-1-yl]carbonyl]piperazin-2-one",6
ccd_lbr,./data/rfd3/ccd_ligands/structures/LBR.cif,LBR,577.675,36,6,"BR,C,H,O",C30 H57 Br O5,(2S)-1-[(13-bromotridecanoyl)oxy]-3-hydroxypropan-2-yl tetradecanoate,6
ccd_nwm,./data/rfd3/ccd_ligands/structures/NWM.cif,NWM,577.749,41,9,"C,H,N,O",C32 H51 N O8,"(3R,4S,5R,6S,10R,11R,12R)-11-(acetyloxy)-1-(benzyloxy)-14-[formyl(methyl)amino]-5-hydroxy-4,6,10,12-tetramethyl-9-oxotetradecan-3-yl propanoate",6
ccd_fc7,./data/rfd3/ccd_ligands/structures/FC7.cif,FC7,578.734,41,9,"C,H,O",C32 H50 O9,Fusicoccin A-THF,6
ccd_ysw,./data/rfd3/ccd_ligands/structures/YSW.cif,YSW,579.746,39,10,"C,H,N,O,P",C29 H58 N O8 P,(2S)-3-{[(R)-(2-aminoethoxy)(hydroxy)phosphoryl]oxy}-2-(dodecanoyloxy)propyl dodecanoate,6
ccd_siy,./data/rfd3/ccd_ligands/structures/SIY.cif,SIY,580.750,41,9,"C,H,O",C32 H52 O9,"(2~{S},3~{R},4~{S},5~{S},6~{R})-2-[[(1~{E},3~{R},4~{S},8~{R},9~{R},10~{R},11~{S},14~{S})-14-(methoxymethyl)-3,10-dimethyl-4,9-bis(oxidanyl)-6-propan-2-yl-8-tricyclo[9.3.0.0^{3,7}]tetradeca-1,6-dienyl]oxy]-6-(2-methylbut-3-en-2-yloxymethyl)oxane-3,4,5-triol",6
