name,input_path,ligand_code,formula_weight,heavy_atoms,hetero_atoms,elements,formula,ccd_name,weight_bin
ccd_tg4,./data/rfd3/ccd_ligands/structures/TG4.cif,TG4,313.416,21,7,"C,H,N,O,S",C14 H23 N3 O3 S,2-(butylamino)-~{N}-[2-(4-sulfamoylphenyl)ethyl]ethanamide,2
ccd_u8r,./data/rfd3/ccd_ligands/structures/U8R.cif,U8R,317.290,23,7,"C,F,H,N,O",C16 H13 F2 N3 O2,"4-[4-[bis(fluoranyl)methoxy]phenyl]-3-cyclopropyl-2~{H}-pyrazolo[4,3-b]pyridin-5-one",2
ccd_0lr,./data/rfd3/ccd_ligands/structures/0LR.cif,0LR,317.424,24,2,"C,H,N,O",C22 H23 N O,"(3R,4R)-3-(naphthalen-2-ylmethoxy)-4-phenylpiperidine",2
ccd_fdn,./data/rfd3/ccd_ligands/structures/FDN.cif,FDN,318.275,23,7,"C,F,H,N,O",C16 H12 F2 N2 O3,"(5S)-3-ANILINO-5-(2,4-DIFLUOROPHENYL)-5-METHYL-1,3-OXAZOLIDINE-2,4-DIONE",2
ccd_5g4,./data/rfd3/ccd_ligands/structures/5G4.cif,5G4,319.354,24,4,"C,H,N,O",C20 H17 N O3,"4-{(E)-(4-hydroxyphenyl)[(2-methylphenyl)imino]methyl}benzene-1,3-diol",2
ccd_qzr,./data/rfd3/ccd_ligands/structures/QZR.cif,QZR,319.402,21,7,"C,H,N,O,S",C14 H13 N3 O2 S2,"6-methyl-~{N}-(4-methylsulfonylphenyl)thieno[2,3-d]pyrimidin-4-amine",2
ccd_s5f,./data/rfd3/ccd_ligands/structures/S5F.cif,S5F,320.777,22,8,"C,CL,H,N,O",C14 H17 Cl N6 O,"6-chloro-4-{(8S)-8-[(4H-1,2,4-triazol-4-yl)methyl]-6-azaspiro[3.4]octan-6-yl}pyrimidin-2(1H)-one",2
ccd_8xu,./data/rfd3/ccd_ligands/structures/8XU.cif,8XU,324.181,21,12,"C,H,N,O,P",C9 H13 N2 O9 P,"1-(5-O-phosphono-beta-D-xylofuranosyl)pyrimidine-2,4(1H,3H)-dione",2
ccd_97m,./data/rfd3/ccd_ligands/structures/97M.cif,97M,328.487,23,4,"C,H,O",C19 H36 O4,"(2R)-2,3-dihydroxypropyl (9Z)-hexadec-9-enoate",2
ccd_zsg,./data/rfd3/ccd_ligands/structures/ZSG.cif,ZSG,330.388,24,9,"C,H,N,O",C15 H22 N8 O,"(8S)-5-(2-aminopyrimidin-4-yl)-N-[2-(dimethylamino)ethyl]-4,5,6,7-tetrahydropyrazolo[1,5-a]pyrazine-2-carboxamide",2
ccd_bvd,./data/rfd3/ccd_ligands/structures/BVD.cif,BVD,333.135,19,8,"BR,C,H,N,O",C11 H13 Br N2 O5,5-BROMOVINYLDEOXYURIDINE,2
ccd_pv1,./data/rfd3/ccd_ligands/structures/PV1.cif,PV1,334.165,20,5,"BR,C,H,N,O",C15 H12 Br N O3,"(5-bromo-2,4-dihydroxyphenyl)(1,3-dihydro-2H-isoindol-2-yl)methanone",2
ccd_zsy,./data/rfd3/ccd_ligands/structures/ZSY.cif,ZSY,335.357,25,6,"C,H,N,O",C19 H17 N3 O3,N-cyclopropyl-6-(furan-2-yl)-2-hydroxy-N-[(pyridin-2-yl)methyl]pyridine-3-carboxamide,2
ccd_b0o,./data/rfd3/ccd_ligands/structures/B0O.cif,B0O,335.439,25,3,"C,H,N,O",C22 H25 N O2,"(6R,6aS,10S,10aR)-10-methyl-4-phenyl-6-[(1E)-prop-1-en-1-yl]-2,6,6a,7,8,9,10,10a-octahydro-1H-[2]benzopyrano[4,3-c]pyridin-1-one",2
ccd_fpg,./data/rfd3/ccd_ligands/structures/FPG.cif,FPG,336.231,20,10,"C,F,H,O,P",C10 H23 F O7 P2,"(1S)-1-[(1R)-1-FLUOROETHYL]-1,5-DIMETHYLHEXYL TRIHYDROGEN DIPHOSPHATE",2
ccd_wk5,./data/rfd3/ccd_ligands/structures/WK5.cif,WK5,336.361,25,5,"C,H,N,O",C20 H18 N O4,"8-methoxy-1-(4-methoxyphenyl)-3-methyl-2-oxidanyl-[1]benzofuro[3,2-c]pyridine",2
ccd_y09,./data/rfd3/ccd_ligands/structures/Y09.cif,Y09,337.264,23,8,"C,H,N,O,P",C15 H16 N O6 P,(2-{2-[(3-methoxyphenyl)amino]-2-oxoethoxy}phenyl)phosphonic acid,2
ccd_eru,./data/rfd3/ccd_ligands/structures/ERU.cif,ERU,337.583,24,2,"C,H,N,O",C22 H43 N O,(13Z)-docos-13-enamide,2
ccd_jxi,./data/rfd3/ccd_ligands/structures/JXI.cif,JXI,338.407,25,7,"C,H,N,O",C18 H22 N6 O,"1-methyl-6-{2-[(4R)-1-methyl-4-phenyl-4,5-dihydro-1H-imidazol-2-yl]ethyl}-1,2,3,5-tetrahydro-4H-pyrazolo[3,4-d]pyrimidin-4-one",2
ccd_tvt,./data/rfd3/ccd_ligands/structures/TVT.cif,TVT,339.319,24,10,"C,F,H,N",C14 H16 F3 N7,2-methyl-2-(3-methyl-4-{[4-(methylamino)-5-(trifluoromethyl)pyrimidin-2-yl]amino}-1H-pyrazol-1-yl)propanenitrile,2
ccd_k9q,./data/rfd3/ccd_ligands/structures/K9Q.cif,K9Q,339.431,25,5,"C,H,N,O",C20 H25 N3 O2,"(2~{S},4~{R})-~{N}-[(2~{S})-1-azanyl-3-(4-phenylphenyl)propan-2-yl]-4-oxidanyl-pyrrolidine-2-carboxamide",2
ccd_kky,./data/rfd3/ccd_ligands/structures/KKY.cif,KKY,341.466,25,4,"C,F,H,N",C21 H28 F N3,6-[2-(3-fluoro-5-{2-[(2S)-1-methylpyrrolidin-2-yl]ethyl}phenyl)ethyl]-4-methylpyridin-2-amine,3
ccd_arz,./data/rfd3/ccd_ligands/structures/ARZ.cif,ARZ,342.437,22,9,"C,H,N,O,S",C13 H18 N4 O3 S2,"(3S,5S,7S)-N-(5-sulfamoyl-1,3,4-thiadiazol-2-yl)tricyclo[3.3.1.1~3,7~]decane-1-carboxamide",3
ccd_8r7,./data/rfd3/ccd_ligands/structures/8R7.cif,8R7,347.407,26,4,"C,H,N,O",C22 H21 N O3,2-cyclopentyl-4-(7-methoxyquinolin-4-yl)benzoic acid,3
ccd_1tz,./data/rfd3/ccd_ligands/structures/1TZ.cif,1TZ,348.441,26,5,"C,H,N,O",C21 H24 N4 O,"(2S)-2-azanyl-3-(3H-indol-3-yl)-N-[(E)-(2,4,6-trimethylphenyl)methylideneamino]propanamide",3
